x,y,hex
22,35,#a7a7a7
22,36,#c3c3c3
22,37,#b7b7b7
22,38,#9e9e9e
22,39,#7a7a7a
22,40,#5e5e5e
22,41,#5d5d5d
22,42,#6c6c6c
22,43,#727272
22,44,#5f5f5f
22,45,#3d3d3d
22,46,#393939
22,47,#7e7e7e
22,48,#a5a5a5
22,49,#b1b1b1
22,50,#b4b4b4
22,51,#b0b0b0
22,52,#a8a8a8
22,53,#9f9f9f
22,54,#8a8a8a
22,55,#6d6d6d
22,56,#505050
22,57,#363636
22,58,#202020
22,59,#2a2a2a
22,60,#3e3e3e
23,4,#ededed
23,5,#a2a2a2
23,6,#575757
23,7,#272727
23,8,#363636
23,9,#2d2d2d
23,10,#1e1e1e
23,11,#242424
23,12,#242424
23,13,#4a4a4a
23,14,#848484
23,15,#a6a6a6
23,16,#b1b1b1
23,17,#b4b4b4
23,18,#b2b2b2
23,19,#acacac
23,20,#a5a5a5
23,21,#9e9e9e
23,22,#9c9c9c
23,23,#a5a5a5
23,24,#ababab
23,25,#848484
23,26,#898989
23,27,#ababab
23,28,#a9a9a9
23,29,#797979
23,30,#3e3e3e
23,31,#323232
23,32,#3d3d3d
23,33,#484848
23,34,#696969
23,35,#9f9f9f
23,36,#bbbbbb
23,37,#a9a9a9
23,38,#909090
23,39,#797979
23,40,#757575
23,41,#878787
23,42,#969696
23,43,#919191
23,44,#767676
23,45,#474747
23,46,#2d2d2d
23,47,#717171
23,48,#b3b3b3
23,49,#aeaeae
23,50,#a7a7a7
23,51,#a6a6a6
23,52,#a6a6a6
23,53,#9d9d9d
23,54,#8d8d8d
23,55,#6c6c6c
23,56,#4d4d4d
23,57,#3b3b3b
23,58,#1f1f1f
23,59,#1f1f1f
23,60,#353535
24,4,#cfcfcf
24,5,#909090
24,6,#5b5b5b
24,7,#373737
24,8,#2e2e2e
24,9,#2c2c2c
24,10,#1e1e1e
24,11,#1f1f1f
24,12,#272727
24,13,#636363
24,14,#999999
24,15,#aeaeae
24,16,#b3b3b3
24,17,#b3b3b3
24,18,#b0b0b0
24,19,#a8a8a8
24,20,#9f9f9f
24,21,#979797
24,22,#959595
24,23,#a0a0a0
24,24,#a4a4a4
24,25,#797979
24,26,#737373
24,27,#969696
24,28,#9f9f9f
24,29,#797979
24,30,#404040
24,31,#1c1c1c
24,32,#1c1c1c
24,33,#3b3b3b
24,34,#666666
24,35,#9c9c9c
24,36,#b1b1b1
24,37,#9f9f9f
24,38,#939393
24,39,#939393
24,40,#9f9f9f
24,41,#b2b2b2
24,42,#b9b9b9
24,43,#aaaaaa
24,44,#848484
24,45,#4b4b4b
24,46,#272727
24,47,#585858
24,48,#b5b5b5
24,49,#b7b7b7
24,50,#979797
24,51,#909090
24,52,#999999
24,53,#989898
24,54,#8f8f8f
24,55,#6b6b6b
24,56,#4a4a4a
24,57,#414141
24,58,#262626
24,59,#171717
24,60,#333333
25,4,#c7c7c7
25,5,#727272
25,6,#434343
25,7,#313131
25,8,#222222
25,9,#272727
25,10,#282828
25,11,#212121
25,12,#2a2a2a
25,13,#6b6b6b
25,14,#9a9a9a
25,15,#afafaf
25,16,#b5b5b5
25,17,#b4b4b4
25,18,#b0b0b0
25,19,#a8a8a8
25,20,#9d9d9d
25,21,#919191
25,22,#8f8f8f
25,23,#9c9c9c
25,24,#a3a3a3
25,25,#7d7d7d
25,26,#5e5e5e
25,27,#6f6f6f
25,28,#838383
25,29,#6f6f6f
25,30,#3f3f3f
25,31,#1a1a1a
25,32,#1d1d1d
25,33,#3f3f3f
25,34,#6e6e6e
25,35,#a2a2a2
25,36,#aeaeae
25,37,#a1a1a1
25,38,#989898
25,39,#959595
25,40,#a8a8a8
25,41,#c6c6c6
25,42,#c5c5c5
25,43,#b3b3b3
25,44,#868686
25,45,#4c4c4c
25,46,#323232
25,47,#474747
25,48,#949494
25,49,#c4c4c4
25,50,#979797
25,51,#747474
25,52,#808080
25,53,#8d8d8d
25,54,#8b8b8b
25,55,#6a6a6a
25,56,#4a4a4a
25,57,#454545
25,58,#303030
25,59,#131313
25,60,#2d2d2d
26,4,#f0f0f0
26,5,#959595
26,6,#4b4b4b
26,7,#3f3f3f
26,8,#2d2d2d
26,9,#222222
26,10,#262626
26,11,#1e1e1e
26,12,#303030
26,13,#676767
26,14,#909090
26,15,#aeaeae
26,16,#b7b7b7
26,17,#b6b6b6
26,18,#b4b4b4
26,19,#aeaeae
26,20,#a2a2a2
26,21,#959595
26,22,#909090
26,23,#999999
26,24,#a4a4a4
26,25,#878787
26,26,#535353
26,27,#4c4c4c
26,28,#5f5f5f
26,29,#545454
26,30,#353535
26,31,#1f1f1f
26,32,#2c2c2c
26,33,#515151
26,34,#808080
26,35,#aeaeae
26,36,#b4b4b4
26,37,#a9a9a9
26,38,#909090
26,39,#6c6c6c
26,40,#898989
26,41,#c3c3c3
26,42,#c5c5c5
26,43,#b3b3b3
26,44,#878787
26,45,#565656
26,46,#4b4b4b
26,47,#494949
26,48,#707070
26,49,#c1c1c1
26,50,#a1a1a1
26,51,#646464
26,52,#666666
26,53,#7b7b7b
26,54,#858585
26,55,#6e6e6e
26,56,#4e4e4e
26,57,#484848
26,58,#3b3b3b
26,59,#131313
26,60,#313131
27,4,#f9f9f9
27,5,#a7a7a7
27,6,#484848
27,7,#535353
27,8,#404040
27,9,#232323
27,10,#171717
27,11,#181818
27,12,#343434
27,13,#666666
27,14,#8f8f8f
27,15,#b1b1b1
27,16,#bbbbbb
27,17,#bababa
27,18,#b8b8b8
27,19,#b1b1b1
27,20,#a6a6a6
27,21,#9a9a9a
27,22,#939393
27,23,#979797
27,24,#a0a0a0
27,25,#8e8e8e
27,26,#585858
27,27,#414141
27,28,#484848
27,29,#464646
27,30,#353535
27,31,#282828
27,32,#383838
27,33,#636363
27,34,#949494
27,35,#b6b6b6
27,36,#b4b4b4
27,37,#a9a9a9
27,38,#818181
27,39,#4b4b4b
27,40,#707070
27,41,#b0b0b0
27,42,#bdbdbd
27,43,#b0b0b0
27,44,#8a8a8a
27,45,#5f5f5f
27,46,#5e5e5e
27,47,#585858
27,48,#5e5e5e
27,49,#a3a3a3
27,50,#acacac
27,51,#676767
27,52,#555555
27,53,#696969
27,54,#7f7f7f
27,55,#727272
27,56,#525252
27,57,#4b4b4b
27,58,#454545
27,59,#181818
27,60,#5a5a5a
28,3,#fcfcfc
28,4,#d3d3d3
28,5,#8d8d8d
28,6,#505050
28,7,#434343
28,8,#333333
28,9,#1e1e1e
28,10,#1b1b1b
28,11,#202020
28,12,#3a3a3a
28,13,#707070
28,14,#9f9f9f
28,15,#bbbbbb
28,16,#bfbfbf
28,17,#bfbfbf
28,18,#bbbbbb
28,19,#b2b2b2
28,20,#a7a7a7
28,21,#9c9c9c
28,22,#949494
28,23,#949494
28,24,#9c9c9c
28,25,#959595
28,26,#686868
28,27,#464646
28,28,#454545
28,29,#474747
28,30,#424242
28,31,#3e3e3e
28,32,#515151
28,33,#7d7d7d
28,34,#a6a6a6
28,35,#b3b3b3
28,36,#b1b1b1
28,37,#aaaaaa
28,38,#7f7f7f
28,39,#474747
28,40,#5a5a5a
28,41,#8e8e8e
28,42,#a4a4a4
28,43,#a0a0a0
28,44,#898989
28,45,#636363
28,46,#5a5a5a
28,47,#6a6a6a
28,48,#575757
28,49,#898989
28,50,#b2b2b2
28,51,#707070
28,52,#474747
28,53,#595959
28,54,#747474
28,55,#6c6c6c
28,56,#505050
28,57,#4c4c4c
28,58,#4b4b4b
28,59,#1d1d1d
28,60,#818181
29,1,#fefefe
29,2,#f8f8f8
29,3,#bababa
29,4,#9f9f9f
29,5,#787878
29,6,#787878
